grid_id,lat,lon,climateZone
0000000,39.3521,-80.5882,-9
0000001,39.3536,-80.5533,-9
0000002,39.3551,-80.5185,-9
0000003,39.3565,-80.4837,-9
0000004,39.3579,-80.4489,-9
0000005,39.3594,-80.414,-9
0000006,39.3608,-80.3792,-9
0000007,39.3622,-80.3444,-9
0000008,39.3636,-80.3095,-9
0000009,39.3649,-80.2747,-9
0000010,39.3663,-80.2399,-9
0000011,39.3677,-80.205,-9
0000012,39.369,-80.1702,-9
0000013,39.3703,-80.1353,-9
0000014,39.3717,-80.1005,-9
0000015,39.373,-80.0657,-9
0000016,39.3743,-80.0308,-9
0000017,39.3756,-79.996,-9
0000018,39.3768,-79.9611,-9
0000019,39.3781,-79.9263,-9
0000020,39.3794,-79.8914,-9
0000021,39.3806,-79.8566,-9
0000022,39.3818,-79.8217,-9
0000023,39.3831,-79.7869,-9
0000024,39.3843,-79.752,-9
0000025,39.3855,-79.7172,-9
0000026,39.3867,-79.6823,-9
0000027,39.3878,-79.6475,-9
0000028,39.389,-79.6126,-9
0000029,39.3901,-79.5777,-9
0000030,39.3913,-79.5428,-9
0000031,39.3924,-79.508,-9
0000032,39.3935,-79.4731,-9
0000033,39.3947,-79.4383,-9
0000034,39.3958,-79.4034,-9
0000035,39.3968,-79.3685,-9
0000036,39.3979,-79.3336,-9
0000037,39.399,-79.2988,-9
0000038,39.4,-79.2639,-9
0000039,39.4011,-79.229,-9
0000040,39.4021,-79.1942,-9
0000041,39.4031,-79.1593,-9
0000042,39.4041,-79.1244,-9
0000043,39.4051,-79.0895,-9
0000044,39.4061,-79.0547,-9
0000045,39.4071,-79.0198,-9
0000046,39.4081,-78.9849,-9
0000047,39.409,-78.95,-9
0000048,39.41,-78.9151,-9
0000049,39.4109,-78.8802,-9
0000050,39.4118,-78.8454,-9
0000051,39.4127,-78.8105,-9
0000052,39.4136,-78.7756,-9
0000053,39.4145,-78.7407,-9
0000054,39.4154,-78.7058,-9
0000055,39.4162,-78.6709,-9
0000056,39.4171,-78.636,-9
0000057,39.4179,-78.6011,-9
0000058,39.4188,-78.5663,-9
0000059,39.4196,-78.5313,-9
0000060,39.4204,-78.4965,-9
0000061,39.4212,-78.4615,-9
0000062,39.422,-78.4267,-9
0000063,39.4227,-78.3918,-9
0000064,39.4235,-78.3569,-9
0000065,39.4242,-78.322,-9
0000066,39.425,-78.2871,-9
0000067,39.4257,-78.2522,-9
0000068,39.4264,-78.2173,-9
0000069,39.4271,-78.1824,-9
0000070,39.4278,-78.1475,-9
0000071,39.4285,-78.1125,-9
0000072,39.4292,-78.0777,-9
0000073,39.4299,-78.0428,-9
0000074,39.4305,-78.0078,-9
0000075,39.4311,-77.9729,-9
0000076,39.4318,-77.938,-9
0000077,39.4324,-77.9031,-9
0000078,39.433,-77.8682,-9
0000079,39.4336,-77.8333,-9
0000080,39.4342,-77.7984,-9
0000081,39.4347,-77.7635,-9
0000082,39.4353,-77.7286,-9
0000083,39.4359,-77.6937,-9
0000084,39.4364,-77.6588,-9
0000085,39.4369,-77.6238,-9
0000086,39.4374,-77.5889,-9
0000087,39.4379,-77.554,-9
0000088,39.4384,-77.5191,-9
0000089,39.4389,-77.4842,-9
0000090,39.4394,-77.4493,-9
0000091,39.4398,-77.4144,-9
0000092,39.4403,-77.3795,-9
0000093,39.4407,-77.3445,-9
0000094,39.4412,-77.3096,-9
0000095,39.4416,-77.2747,-9
0000096,39.442,-77.2398,-9
0000097,39.4424,-77.2049,-9
0000098,39.4427,-77.1699,-9
0000099,39.4431,-77.135,-9
0000100,39.4435,-77.1001,-9
0000101,39.4438,-77.0652,-9
0000102,39.4442,-77.0303,-9
0000103,39.4445,-76.9953,-9
0000104,39.4448,-76.9604,-9
0000105,39.4451,-76.9255,-9
0000106,39.4454,-76.8906,-9
0000107,39.4457,-76.8557,-9
0000108,39.4459,-76.8207,-9
0000109,39.4462,-76.7858,-9
0000110,39.4464,-76.7509,-9
0000111,39.4467,-76.7159,-9
0000112,39.4469,-76.681,-9
0000113,39.4471,-76.6461,-9
0000114,39.4473,-76.6112,-9
0000115,39.4475,-76.5763,-9
0000116,39.4477,-76.5414,-9
0000117,39.4479,-76.5064,-9
0000118,39.448,-76.4715,-9
0000119,39.4482,-76.4366,-9
0000120,39.4483,-76.4016,-9
0000121,39.4484,-76.3667,-9
0000122,39.4485,-76.3318,-9
0000123,39.4486,-76.2969,-9
0000124,39.4487,-76.2619,-9
0000125,39.4488,-76.227,-9
0000126,39.4489,-76.1921,-9
0000127,39.4489,-76.1572,-9
0000128,39.449,-76.1223,-9
0000129,39.449,-76.0873,-9
0000130,39.449,-76.0524,-9
0000131,39.449,-76.0175,-9
0000132,39.449,-75.9825,-9
0000133,39.449,-75.9476,-9
0000134,39.449,-75.9127,-9
0000135,39.449,-75.8777,-9
0000136,39.4489,-75.8428,-9
0000137,39.4489,-75.8079,-9
0000138,39.4488,-75.773,-9
0000139,39.4487,-75.7381,-9
0000140,39.4486,-75.7031,-9
0000141,39.4485,-75.6682,-9
0000142,39.4484,-75.6333,-9
0000143,39.4483,-75.5984,-9
0000144,39.4482,-75.5634,-9
0000145,39.448,-75.5285,-9
0000146,39.4479,-75.4936,-9
0000147,39.4477,-75.4586,-9
0000148,39.4475,-75.4237,-9
0000149,39.4473,-75.3888,-9
