stid,lat [degrees],lon [degrees],Closest_WRF,Distance,WRF_LAT,WRF_LON,int_id
ADDI,42.04,-77.237,WRF96_97,1.629,42.034,-77.255,1
ANDE,42.181999999999995,-74.801,WRF101_164,1.8019999999999998,42.17,-74.815,2
BATA,43.02,-78.13600000000001,WRF133_74,0.841,43.021,-78.125,3
BEAC,41.528999999999996,-73.945,WRF78_188,1.531,41.536,-73.961,4
BELD,42.223,-75.669,WRF103_141,1.422,42.229,-75.653,5
BELL,43.79,-76.11399999999999,WRF161_128,1.611,43.797,-76.131,6
BELM,42.242,-78.04,WRF104_76,1.218,42.239,-78.02600000000001,7
BERK,42.32,-76.203,WRF106_126,1.072,42.31100000000001,-76.20100000000001,8
BING,42.058,-75.95100000000001,WRF97_133,1.141,42.068000000000005,-75.945,9
BKLN,40.632,-73.954,WRF45_189,1.405,40.644,-73.954,10
BRAN,42.595,-79.02199999999999,WRF118_49,0.594,42.595,-79.029,11
BREW,41.44,-73.57600000000001,WRF75_199,1.102,41.446999999999996,-73.567,12
BROC,43.208,-77.96600000000001,WRF140_78,1.516,43.213,-77.984,13
BRON,40.872,-73.89399999999999,WRF53_190,2.057,40.86,-73.911,14
BROO,42.79600000000001,-75.29899999999999,WRF124_151,1.422,42.795,-75.282,15
BSPA,43.023,-73.875,WRF133_189,0.214,43.021,-73.875,16
BUFF,43.0,-78.767,WRF133_57,1.385,43.008,-78.753,17
BURD,42.41,-76.77199999999999,WRF110_110,1.4040000000000001,42.416000000000004,-76.78699999999999,18
BURT,43.317,-78.749,WRF144_57,1.985,43.305,-78.767,19
CAMD,43.34,-75.743,WRF144_138,1.281,43.336999999999996,-75.758,20
CAPE,44.105,-76.327,WRF172_123,1.3119999999999998,44.093999999999994,-76.32,21
CHAZ,44.896,-73.465,WRF203_198,0.985,44.903999999999996,-73.464,22
CHES,43.653999999999996,-73.777,WRF156_191,1.47,43.641000000000005,-73.778,23
CINC,42.522,-75.976,WRF114_132,0.72,42.527,-75.982,24
CLAR,41.979,-74.517,WRF94_172,0.9359999999999999,41.977,-74.528,25
CLIF,43.015,-77.185,WRF132_99,1.5319999999999998,43.007,-77.20100000000001,26
CLYM,42.023999999999994,-79.624,WRF98_32,1.413,42.037,-79.62100000000001,27
COBL,42.676,-74.508,WRF120_172,0.465,42.68,-74.51100000000001,28
COHO,42.512,-77.438,WRF114_92,1.0959999999999999,42.518,-77.44800000000001,29
COLD,43.261,-74.979,WRF141_159,1.012,43.251999999999995,-74.98,30
COPA,42.137,-73.52,WRF101_200,1.89,42.148,-73.503,31
COPE,43.92100000000001,-75.608,WRF166_142,1.224,43.931000000000004,-75.60600000000001,32
CROG,43.975,-75.20100000000001,WRF168_153,1.15,43.983000000000004,-75.193,33
CSQR,43.326,-76.104,WRF144_129,1.59,43.338,-76.093,34
DELE,42.418,-78.423,WRF111_65,0.927,42.42,-78.434,35
DEPO,42.068999999999996,-75.392,WRF97_148,0.657,42.066,-75.4,36
DOVE,41.773999999999994,-73.575,WRF87_198,1.2990000000000002,41.772,-73.59100000000001,37
