stid,lat [degrees],lon [degrees],Closest_WRF,Distance,WRF_LAT,WRF_LON,int_id
DUAN,42.803000000000004,-74.17399999999999,WRF125_181,0.774,42.81,-74.17699999999999,38
EAUR,42.713,-78.632,WRF122_60,0.16399999999999998,42.713,-78.63,39
EDIN,43.228,-74.113,WRF141_182,1.8530000000000002,43.242,-74.127,40
EDWA,44.321999999999996,-75.244,WRF181_152,2.063,44.335,-75.226,41
ELDR,41.54,-74.88,WRF78_163,1.74,41.549,-74.863,42
ELLE,44.895,-73.845,WRF202_188,1.16,44.885,-73.846,43
ELMI,42.113,-76.837,WRF99_109,1.544,42.119,-76.82,44
ESSX,44.31399999999999,-73.372,WRF181_201,0.69,44.308,-73.376,45
FAYE,43.053999999999995,-75.99,WRF134_132,1.641,43.068000000000005,-75.98100000000001,46
FRED,42.418,-79.367,WRF112_40,1.492,42.424,-79.35,47
GABR,44.417,-74.179,WRF184_180,1.791,44.403999999999996,-74.166,48
GFAL,43.341,-73.602,WRF145_196,0.155,43.34,-73.60300000000001,49
GFLD,43.717,-75.40899999999999,WRF158_147,0.9440000000000001,43.715,-75.421,50
GROT,42.549,-76.375,WRF115_121,0.971,42.553000000000004,-76.385,51
GROV,42.49,-77.949,WRF113_78,1.1320000000000001,42.483000000000004,-77.96,52
HAMM,44.513000000000005,-75.617,WRF188_142,1.858,44.526,-75.602,53
HARP,42.473,-74.69800000000001,WRF112_167,0.795,42.466,-74.7,54
HARR,43.803999999999995,-75.689,WRF161_140,0.9309999999999999,43.797,-75.682,55
HART,42.211000000000006,-77.69,WRF103_85,0.868,42.217,-77.697,56
HERK,43.037,-75.01,WRF133_158,0.872,43.036,-75.02,57
HFAL,41.799,-74.123,WRF88_183,1.432,41.809,-74.133,58
ILAK,43.791000000000004,-74.23899999999999,WRF161_179,1.589,43.783,-74.222,59
JOHN,42.983999999999995,-74.30199999999999,WRF131_177,1.827,42.974,-74.32,60
JORD,43.07,-76.47,WRF134_119,0.7240000000000001,43.067,-76.462,61
KIND,42.41,-73.71600000000001,WRF111_194,1.485,42.423,-73.712,62
LAUR,42.525,-75.137,WRF114_155,0.195,42.523999999999994,-75.138,63
LOUI,44.872,-75.056,WRF201_156,0.845,44.873999999999995,-75.066,64
MALO,44.853,-74.329,WRF201_175,1.8030000000000002,44.86600000000001,-74.342,65
MANH,40.768,-73.964,WRF50_189,1.825,40.779,-73.95,66
MEDI,43.227,-78.309,WRF141_69,1.04,43.233000000000004,-78.318,67
MEDU,42.468999999999994,-74.165,WRF112_182,1.704,42.458,-74.15,68
MORR,42.88399999999999,-75.642,WRF127_141,0.893,42.878,-75.65,69
NBRA,41.828,-74.997,WRF88_159,0.991,41.82,-75.003,70
NEWC,43.973,-74.223,WRF168_179,0.489,43.973,-74.217,71
NHUD,44.013000000000005,-73.705,WRF170_193,1.3630000000000002,44.016999999999996,-73.689,72
OLDF,43.742,-74.97800000000001,WRF159_159,0.608,43.739,-74.972,73
OLEA,42.091,-78.407,WRF99_65,1.276,42.096000000000004,-78.422,74
ONTA,43.25899999999999,-77.373,WRF141_94,1.9040000000000001,43.248000000000005,-77.391,75
OPPE,43.063,-74.665,WRF134_168,1.29,43.06,-74.65,76
OSCE,43.498999999999995,-75.712,WRF150_139,0.715,43.498999999999995,-75.721,77
OSWE,43.443000000000005,-76.553,WRF148_117,1.112,43.445,-76.54,78
OTIS,41.482,-74.50399999999999,WRF76_173,0.8909999999999999,41.49,-74.503,79
OWEG,42.026,-76.255,WRF95_124,1.969,42.013999999999996,-76.273,80
PENN,42.656000000000006,-76.987,WRF119_105,1.1540000000000001,42.658,-76.97399999999999,81
PHIL,44.193999999999996,-75.71600000000001,WRF176_139,0.948,44.202,-75.717,82
PISE,43.465,-74.50399999999999,WRF149_172,0.995,43.463,-74.492,83
POTS,44.657,-74.97399999999999,WRF193_159,1.474,44.657,-74.956,84
QUEE,40.734,-73.816,WRF48_193,1.4240000000000002,40.723,-73.809,85
RAND,42.148999999999994,-78.90100000000001,WRF101_52,1.206,42.138999999999996,-78.89699999999999,86
RAQU,43.823,-74.625,WRF162_168,0.985,43.816,-74.633,87
REDF,43.622,-75.878,WRF155_135,1.567,43.635,-75.869,88
REDH,42.001999999999995,-73.884,WRF95_190,1.245,41.994,-73.873,89
ROXB,42.33,-74.467,WRF107_173,1.308,42.328,-74.483,90
RUSH,43.001000000000005,-77.637,WRF132_87,0.5670000000000001,43.001999999999995,-77.64399999999999,91
SARA,44.708,-73.671,WRF196_193,1.5090000000000001,44.718999999999994,-73.66199999999999,92
SBRI,42.751999999999995,-77.359,WRF123_95,1.7269999999999999,42.762,-77.343,93
SCHA,42.897,-73.61399999999999,WRF129_196,1.304,42.908,-73.62,94
SCHO,42.506,-73.686,WRF114_195,1.148,42.503,-73.672,95
SCHU,43.117,-73.578,WRF137_197,0.735,43.123000000000005,-73.575,96
SCIP,42.756,-76.53399999999999,WRF123_117,1.433,42.769,-76.53399999999999,97
SHER,42.64,-75.484,WRF118_146,1.504,42.63399999999999,-75.467,98
SOME,41.31,-73.767,WRF70_194,1.389,41.316,-73.752,99
SOUT,41.04,-72.46600000000001,WRF61_230,0.552,41.038999999999994,-72.472,100
SPRA,42.873999999999995,-74.509,WRF127_172,0.636,42.869,-74.507,101
SPRI,42.843,-74.89,WRF126_162,1.159,42.846000000000004,-74.876,102
STAT,40.604,-74.148,WRF43_184,1.7280000000000002,40.594,-74.133,103
STEP,42.526,-73.359,WRF115_204,1.472,42.523,-73.342,104
STON,40.919000000000004,-73.132,WRF56_212,0.882,40.923,-73.123,105
SUFF,41.13,-74.09,WRF63_185,0.755,41.133,-74.082,106
TANN,42.17100000000001,-74.113,WRF101_183,1.392,42.16,-74.123,107
TICO,43.875,-73.419,WRF165_200,1.095,43.876999999999995,-73.432,108
TULL,42.795,-76.116,WRF124_128,1.129,42.797,-76.12899999999999,109
TUPP,44.221000000000004,-74.438,WRF177_173,0.33899999999999997,44.218999999999994,-74.436,110
TYRO,42.406000000000006,-77.054,WRF110_103,1.271,42.413999999999994,-77.043,111
VOOR,42.652,-73.976,WRF119_187,1.5119999999999998,42.644,-73.961,112
WALL,41.63399999999999,-74.154,WRF81_183,1.975,41.62,-74.139,113
WALT,42.239,-75.179,WRF103_154,1.39,42.227,-75.179,114
WANT,40.655,-73.506,WRF46_202,1.5290000000000001,40.662,-73.49,115
WARS,42.78,-78.209,WRF124_72,1.5430000000000001,42.776,-78.191,116
WARW,41.24,-74.391,WRF67_176,1.102,41.246,-74.40100000000001,117
WATE,42.88,-76.813,WRF127_109,1.4680000000000002,42.875,-76.83,118
WBOU,41.745,-74.58800000000001,WRF85_170,1.857,41.735,-74.60600000000001,119
WELL,44.308,-76.009,WRF180_131,0.87,44.31,-76.01899999999999,120
WEST,43.106,-75.461,WRF135_146,1.473,43.093,-75.46300000000001,121
WFMB,44.393,-73.859,WRF184_188,0.745,44.398999999999994,-73.86399999999999,122
WGAT,43.532,-75.15899999999999,WRF151_154,0.975,43.523999999999994,-75.16199999999999,123
WHIT,43.485,-73.423,WRF151_201,1.745,43.498000000000005,-73.411,124
WOLC,43.229,-76.843,WRF140_109,0.701,43.227,-76.834,125
YORK,42.855,-77.848,WRF127_81,1.4669999999999999,42.863,-77.862,126
