stid,number,name,lat [degrees],lon [degrees],elevation [m],county,nearest_city,state,distance_from_town [km],direction_from_town [degrees],climate_division,climate_division_name,wfo,commissioned,decommissioned,int_id
ADDI,107,Addison,42.04036,-77.23725999999999,507.61400000000003,Steuben,Addison,NY,6.9,S,1,Western Plateau,BGM,2016-08-10 18:15:00 UTC,,1
ANDE,111,Andes,42.18227,-74.80139,518.2819999999999,Delaware,Andes,NY,1.5,WSW,2,Eastern Plateau,BGM,2016-08-04 15:55:00 UTC,,2
BATA,24,Batavia,43.019940000000005,-78.13566,276.12,Genesee,Batavia,NY,4.9,ENE,9,Great Lakes,BUF,2016-02-18 18:40:00 UTC,,3
BEAC,76,Beacon,41.52875,-73.94527,90.1598,Dutchess,Beacon,NY,3.3,NE,5,Hudson Valley,ALY,2016-08-22 16:45:00 UTC,,4
BELD,90,Belden,42.22322,-75.66852,470.37,Broome,Belden,NY,2.2,NNE,2,Eastern Plateau,BGM,2015-11-30 20:20:00 UTC,,5
BELL,30,Belleville,43.78962,-76.11373,144.78,Jefferson,Belleville,NY,0.8,NE,9,Great Lakes,BUF,2016-04-28 17:05:00 UTC,,6
BELM,70,Belmont,42.242490000000004,-78.03958,417.57599999999996,Allegany,Belmont,NY,2.2,N,1,Western Plateau,BUF,2016-05-16 20:45:00 UTC,,7
BERK,80,Berkshire,42.3203,-76.20319,393.59,Tioga,Berkshire,NY,2.2,NW,2,Eastern Plateau,BGM,2015-11-19 16:25:00 UTC,,8
BING,5,Binghamton,42.05843,-75.95104,534.436,Broome,Binghamton,NY,5.2,SSW,2,Eastern Plateau,BGM,2016-10-04 18:25:00 UTC,,9
BKLN,33,Brooklyn,40.631762,-73.953678,33.22,Kings,Brooklyn,NY,5.2,ESE,4,Coastal,OKX,2017-06-19 18:45:00 UTC,,10
BRAN,66,Brant,42.59494,-79.02154,218.542,Erie,Brant,NY,0.8,NNW,9,Great Lakes,BUF,2016-04-23 17:10:00 UTC,,11
BREW,109,Brewster,41.43993,-73.57642,185.34900000000002,Putnam,Brewster,NY,5.8,NE,5,Hudson Valley,OKX,2017-03-30 22:15:00 UTC,,12
BROC,43,Brockport,43.20835,-77.96592,171.602,Monroe,Brockport,NY,2.3,WSW,9,Great Lakes,BUF,2016-06-16 17:25:00 UTC,,13
BRON,26,Bronx,40.872481,-73.89352199999999,57.5,Bronx,Bronx,NY,3.9,NW,4,Coastal,OKX,2017-09-12 20:10:00 UTC,,14
BROO,96,Brookfield,42.79591,-75.29929,505.176,Madison,Brookfield,NY,2.4,SE,2,Eastern Plateau,BGM,2016-08-05 17:35:00 UTC,,15
BSPA,97,Ballston Spa,43.0228,-73.87498000000001,120.51799999999999,Saratoga,Ballston Spa,NY,3.2,NW,5,Hudson Valley,ALY,2016-08-18 16:40:00 UTC,,16
