"Jday","CLAR","CROG","DUAN","ELDR","HFAL","NBRA","NHUD","OLDF","OSCE","PISE","RAQU","SARA","SUFF","TANN","TUPP","WFMB","WGAT"
1,-1,64,11,224,52,108,13,61,50,9,119,95,18,-6,8,169,169
2,-1,64,11,222,52,107,13,61,51,9,119,95,18,-5,8,169,169
3,0,65,11,219,53,107,14,62,52,9,119,95,18,-5,9,169,168
4,0,66,11,217,53,107,15,62,52,9,119,94,18,-4,9,169,168
5,0,67,11,214,53,106,15,62,53,9,119,94,18,-4,9,169,168
6,1,68,10,211,53,106,16,62,53,9,119,94,18,-4,9,169,168
7,1,68,10,209,53,105,17,63,54,9,119,93,18,-3,9,169,168
8,2,69,10,206,54,105,17,63,54,9,119,93,18,-3,9,169,168
9,3,70,10,204,54,104,18,63,55,9,119,93,18,-2,9,169,168
10,3,71,10,201,54,104,19,64,55,9,119,92,18,-2,9,169,168
11,4,72,10,199,54,104,19,64,56,9,119,92,18,-1,9,169,168
12,5,72,9,196,54,103,20,64,57,9,119,92,18,-1,9,169,168
13,5,73,9,194,54,103,21,65,57,9,119,91,18,-1,9,169,168
14,6,74,9,191,55,102,21,65,58,9,119,91,18,0,9,169,168
15,6,75,9,188,55,102,22,65,58,9,119,91,18,0,9,169,168
16,7,76,9,186,55,101,22,65,59,9,119,90,18,0,9,169,168
17,8,76,9,183,55,101,23,66,59,9,119,90,18,0,9,169,168
18,8,77,9,181,55,101,24,66,60,9,119,90,18,1,9,169,168
19,9,78,9,178,55,100,24,66,60,9,119,89,18,1,9,169,168
20,10,79,8,176,56,100,25,67,61,9,119,89,18,2,9,169,168
21,10,80,8,173,56,99,26,67,61,9,119,89,18,2,9,169,168
22,11,80,8,170,56,99,26,67,62,9,119,88,18,3,9,169,168
23,12,81,8,168,56,98,27,67,63,9,119,88,18,3,9,169,168
24,12,82,8,165,56,98,28,68,63,9,119,88,17,4,9,170,168
25,13,83,8,163,57,98,28,68,64,9,119,87,17,4,9,170,168
26,13,84,8,160,57,97,29,68,64,9,119,87,17,5,9,170,168
27,14,84,8,158,57,97,30,69,65,9,119,87,17,5,9,170,168
